epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,139.723,1.01538,0.67389,0.83748,0.85487,0.51833,0.6371,0.45429,0.79445,0.57313,0.92166,0.000211389,0.000211389,0.000211389
137,140.751,1.03505,0.69631,0.84038,0.74354,0.58086,0.64523,0.46225,0.80912,0.55574,0.92486,0.000211148,0.000211148,0.000211148
138,141.906,1.02715,0.67063,0.83648,0.77731,0.61175,0.65178,0.46168,0.80078,0.54649,0.92318,0.000210906,0.000210906,0.000210906
139,142.937,1.05327,0.68254,0.83163,0.78818,0.61421,0.65216,0.46069,0.79476,0.54168,0.91947,0.000210665,0.000210665,0.000210665
140,143.978,1.02718,0.686,0.84403,0.79365,0.60894,0.65043,0.46858,0.7739,0.53575,0.90947,0.000210423,0.000210423,0.000210423
141,145.019,0.99335,0.68101,0.83629,0.8134,0.59085,0.64941,0.46992,0.7847,0.54477,0.90653,0.000210182,0.000210182,0.000210182
142,146.099,0.98801,0.68383,0.83281,0.75785,0.59847,0.64566,0.47164,0.7714,0.56787,0.91546,0.00020994,0.00020994,0.00020994
143,147.091,1.02093,0.65432,0.83594,0.74481,0.58384,0.64587,0.46547,0.8033,0.58164,0.91945,0.000209698,0.000209698,0.000209698
144,148.176,1.08008,0.68907,0.83617,0.8967,0.50039,0.63686,0.45059,0.81484,0.59334,0.92359,0.000209457,0.000209457,0.000209457
145,149.146,1.05198,0.67459,0.83073,0.88986,0.50971,0.64646,0.45823,0.80365,0.58964,0.92382,0.000209215,0.000209215,0.000209215
146,150.178,1.01178,0.66281,0.8386,0.7495,0.60941,0.6502,0.46198,0.81119,0.57071,0.91549,0.000208974,0.000208974,0.000208974
147,151.189,1.02446,0.68073,0.83431,0.75787,0.6153,0.6552,0.46877,0.79302,0.55768,0.91535,0.000208732,0.000208732,0.000208732
148,152.253,1.06823,0.69097,0.82717,0.76562,0.60186,0.64683,0.45996,0.78864,0.54899,0.90846,0.000208491,0.000208491,0.000208491
149,153.254,0.97951,0.66151,0.82061,0.76244,0.6112,0.64932,0.46587,0.79211,0.5406,0.90684,0.000208249,0.000208249,0.000208249
