epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,3860.79,0.28079,0.21602,0.78884,0.99732,0.99125,0.99471,0.98682,0.16159,0.14456,0.76244,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3947.06,0.28025,0.21355,0.78875,0.99733,0.99133,0.99482,0.98764,0.15474,0.14146,0.7614,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4026.19,0.27905,0.21349,0.78822,0.99759,0.99143,0.9948,0.98738,0.15942,0.14288,0.76178,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4103.02,0.27526,0.21182,0.78827,0.99739,0.99144,0.99473,0.9879,0.15616,0.14116,0.76128,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4180.64,0.27402,0.21056,0.78695,0.99748,0.99149,0.9948,0.98775,0.15852,0.14157,0.76111,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4262.24,0.27343,0.20946,0.78684,0.99771,0.98899,0.99447,0.98741,0.15189,0.13981,0.76087,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4340.89,0.27017,0.2078,0.78702,0.99728,0.99187,0.99484,0.9884,0.15055,0.13951,0.76047,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4416.98,0.26874,0.20718,0.78761,0.99726,0.99184,0.99483,0.98805,0.15492,0.14064,0.7608,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4494.66,0.26599,0.20567,0.78721,0.99724,0.99265,0.99487,0.9885,0.15087,0.13698,0.76059,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4571.41,0.26626,0.20408,0.78627,0.9969,0.99288,0.9948,0.98842,0.15175,0.13616,0.7603,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4649.73,0.2665,0.20471,0.78693,0.99651,0.99308,0.99479,0.98864,0.14953,0.13605,0.76024,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4730.54,0.2642,0.20278,0.78693,0.99754,0.99247,0.99476,0.98859,0.15127,0.13546,0.76021,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4807.33,0.26113,0.20143,0.7862,0.99782,0.99237,0.99487,0.98897,0.14555,0.13426,0.75965,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4883.67,0.26169,0.20175,0.78678,0.9972,0.99267,0.9948,0.98862,0.14943,0.13452,0.76009,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4959.86,0.25829,0.1987,0.78562,0.99756,0.99233,0.99481,0.98847,0.15022,0.13406,0.76007,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5036.13,0.2565,0.19836,0.78544,0.99752,0.99228,0.99484,0.98872,0.14865,0.13481,0.75981,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
