epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,76.6214,1.33238,1.05791,0.85416,0.70474,0.35689,0.40199,0.27851,0.96492,1.02608,0.95173,6.76612e-05,6.76612e-05,6.76612e-05
75,77.5583,1.35742,1.1538,0.8604,0.73647,0.35022,0.40274,0.27693,0.97752,1.02346,0.95191,6.52456e-05,6.52456e-05,6.52456e-05
76,78.465,1.31979,1.14643,0.86573,0.71397,0.35573,0.40674,0.27967,0.97381,1.0231,0.95222,6.283e-05,6.283e-05,6.283e-05
77,79.4354,1.37231,1.10064,0.85939,0.71903,0.36696,0.41327,0.28632,0.96188,1.01287,0.95172,6.04144e-05,6.04144e-05,6.04144e-05
78,80.4655,1.28318,1.09084,0.86794,0.72587,0.35439,0.42033,0.28849,0.94304,0.99472,0.95089,5.79988e-05,5.79988e-05,5.79988e-05
79,81.4104,1.32631,1.11717,0.86638,0.73414,0.34863,0.42557,0.29457,0.93184,0.98951,0.94986,5.55832e-05,5.55832e-05,5.55832e-05
80,82.3487,1.32573,1.04835,0.85727,0.73983,0.34876,0.42791,0.29681,0.92989,0.97305,0.94983,5.31676e-05,5.31676e-05,5.31676e-05
81,83.2903,1.33286,1.08655,0.86755,0.74246,0.35959,0.43081,0.29637,0.93647,0.96534,0.95024,5.0752e-05,5.0752e-05,5.0752e-05
82,84.2237,1.3818,1.0823,0.86922,0.74006,0.36264,0.43636,0.29953,0.94045,0.95524,0.95059,4.83364e-05,4.83364e-05,4.83364e-05
83,85.159,1.43991,1.14649,0.85994,0.73488,0.35751,0.4346,0.29393,0.95027,0.95409,0.9513,4.59208e-05,4.59208e-05,4.59208e-05
84,86.1502,1.33199,1.10794,0.86934,0.73978,0.35848,0.43051,0.29025,0.9494,0.96405,0.95295,4.35052e-05,4.35052e-05,4.35052e-05
85,87.0541,1.27389,1.05,0.86803,0.73596,0.361,0.43053,0.28757,0.94167,0.96723,0.95333,4.10896e-05,4.10896e-05,4.10896e-05
86,88.0005,1.25419,1.04019,0.86658,0.73631,0.35315,0.42677,0.28703,0.92679,0.97122,0.95265,3.8674e-05,3.8674e-05,3.8674e-05
87,88.908,1.3292,1.09239,0.8552,0.73991,0.35697,0.43074,0.29554,0.9198,0.9729,0.95145,3.62584e-05,3.62584e-05,3.62584e-05
88,89.8181,1.32713,1.08615,0.86159,0.72991,0.35958,0.42628,0.29478,0.90965,0.96409,0.95,3.38428e-05,3.38428e-05,3.38428e-05
89,90.7439,1.29872,1.05847,0.86146,0.73137,0.3599,0.42703,0.29176,0.91028,0.95977,0.94935,3.14272e-05,3.14272e-05,3.14272e-05
90,91.7126,1.3618,1.08327,0.85594,0.74742,0.36098,0.43303,0.2938,0.91832,0.96594,0.94881,2.90116e-05,2.90116e-05,2.90116e-05
91,93.4323,1.26855,1.01466,0.86464,0.73,0.35389,0.42445,0.29413,0.91546,0.9197,0.94719,2.6596e-05,2.6596e-05,2.6596e-05
92,94.35,1.29609,1.05152,0.86012,0.73466,0.35109,0.4363,0.30173,0.91361,0.87273,0.94555,2.41804e-05,2.41804e-05,2.41804e-05
93,95.2773,1.24278,1.00248,0.85696,0.74926,0.34814,0.4407,0.30682,0.90925,0.84653,0.94365,2.17648e-05,2.17648e-05,2.17648e-05
94,96.2111,1.22733,0.9707,0.85888,0.78944,0.33383,0.44295,0.3065,0.90317,0.82327,0.94179,1.93492e-05,1.93492e-05,1.93492e-05
95,97.1249,1.20879,0.9398,0.85085,0.78696,0.33438,0.44833,0.31017,0.90145,0.81169,0.94069,1.69336e-05,1.69336e-05,1.69336e-05
96,98.1801,1.20326,0.96496,0.8566,0.77852,0.33761,0.44994,0.31221,0.89665,0.80055,0.93987,1.4518e-05,1.4518e-05,1.4518e-05
97,99.1028,1.23158,0.97675,0.8657,0.75433,0.36557,0.4496,0.31194,0.89672,0.79838,0.94021,1.21024e-05,1.21024e-05,1.21024e-05
98,100.087,1.26812,1.03736,0.86604,0.75512,0.36711,0.4515,0.31049,0.89481,0.79754,0.93958,9.6868e-06,9.6868e-06,9.6868e-06
99,100.98,1.22854,0.96875,0.8565,0.75671,0.36886,0.45161,0.31153,0.89697,0.79713,0.93961,7.2712e-06,7.2712e-06,7.2712e-06
100,101.906,1.16438,0.9189,0.85889,0.75876,0.36757,0.45082,0.31066,0.89756,0.79375,0.94023,4.8556e-06,4.8556e-06,4.8556e-06
